Henry Holloway
Isabel Lewis
Grace Wilson
William Daniel Conybeare
Robert Welles
Arthur Ashworth
Barbara Marian Nixon
Katherine Sherborne
Jane Buchan
Harry Daley
James Archdale
Minshull Edward
Nancy Macdonald
George William Frederick Villiers
Henry John Rous
Desmond Christopher Taylor
Emma Catherine Abbott
Elizabeth Jane Hamond
Hannah Diana Bowman
Emma Lascelles
Kathryn Mary Burgess
Laura Miranda Grimond
Christopher Hampton
Georgiana Ann Harris
Thomas W. Morgan
Edith Wright
Louisa Alice Trow
Rachael Ward
George Gledstanes
Denis Caulfield Heron
Amy Louisa Wilson
William Handyside
Molly Johnson
Anne Saxye
Annie Bennett Poxon
George Peacock
Henry Alfred Posament
Frederick Neal
Marjorie Clitheroe
Katherine Philips
Baldwin Latham
Mary White
Edward Adams
Francis Gibson
Charles Purton Cooper
John Gibb
Shuckburgh Ashley Apreece
Mary Winde
Judith Walker
John Fanshawe
Agnes Halyburton
Lucretia Petrelli
Susan Lister
Walter Heinrich Heitler
Catherine Joan Natley
Mary Brend
George Lamb
Lowri Williams
Benjamin Pearson
Robert Anning Bell
Julia Mary Cartwright
Thomas Boverton Redwood
Joyce Clopton
Ronald McDougall
Harriet Herbert
Edward Benlowes
William Hopwood
Mathias Mainza Chona
Agnes Ward
Thomas Shenton Whitelegge Thomas
Rachel Yeamans Eliot
Grace Charlotte Curnock
William Weston
Catherine Mary Greenwell
Andrew Rae Duncan
Charles Maynard
Alfred Hinton
James Hope
Ezekias King
Frank Galleway
Nancy Anderson Long Riach
Stephen Nau
Marjorie Emelia Balfour Rider
Joan Wilbore
Robert Richardson Newell
Thomas Graham Jackson
Noel Rooke
William Strutt
Beatrice Gunn Wilson
Oswald Atherton Fleming
Ralph Clifford Lynn
Joan Aldred
William Rawlinson
Mtys Gyrgy Seiber
Moritz Martin Bergel
Margaret Elizabeth Brownrigg
William Curtis
Constance Adelaide Smith
Elsie Alexandra Scott
Hannah Bamford
Elizabeth Brandling
Joan Burton
John Kinsey
Frederick Frost Blackman
John Stevenson
Elizabeth Ann Griesbach
Percy Alden
Catherine Jearsey
Donnchadh  Clirigh
Katharine Manners
Ellen Ganderton
Ruth Marion Clapham
Elizabeth Kent
Evelina Gertrude Rothschild
Mary Whetenall
Mary Felton
Ralph Gordon Noel King Milbanke
Arthur Stafford Crawley
Fanny Heaton
Susanne Monypenny
Catherine Frances Wigram
Caroline Weston
Hugh Ross Mackintosh
Eleanor Jones
Dorothy Percy
William Shepard
Isabella Langhorne
Paul Edmund Strzelecki
Thomas Hardcastle Sykes
Cuthbert Collingwood Tinling
Thomas Tunstel
Arthur Thomas Doodson
William Pechey
Thomas Bubwith
Gertrude Maud Robinson
Norah Carroll
John Hadley
Susannah Short
Jane Stuart
Robert Porrett Collier
James Scott
Julie Bourdelain
John Marshman
Angela MacDonald Janes
Margaret Wade
Benjamin Shakespeare
Thomas Knell
Christina Drummond
Geoffrey Whitney
Edward Dixwell
Theodore Komisarjevsky
William Massey
Reginald Owen Morris
Walter Weaver
Hew Ainslie
John James Brown
Erasmus Darwin
Emily Maria Pickersgill
Eva Merthens
Thomas Garnier
Mr Ros
John Clavell
Martin Shee
Jessica Matilda Arnold
Louis Reich
Emile Joseph Dillon
John Kettell
Hubert Robert Harry Gregg
Frank Cooper
Agnes Kett
Hugh Chalcombe
Joseph Baxendale
Matilda Butler
Rykje Hester Roos
John Mitchell Kemble
Marcelle Marie Jos Roth
William Hervey
Robin Day
Alban Lewis Gwynne
Richard Snowden Smith
Annie McIntosh
Thomas Macadam
Henry Thomas Beche
Wilhelmina Bowen
Alice Bradbridge
Mary Sweetman
Rowland Mason Ordish
Richard Coote
Elizabeth Girdler
Antonia Nari
Margaret Sackville
Harley Hugh Hay
George Probyn
John Montgomery
Catharine Nimmo
Josiah Wood Whymper
Mary Anne Roberts
Louisa Stuart
Margaret Shillitoe
Sarah Hobsbaum
John Edwin Sandys
Christopher Stanger
Maurice Oldfield
Jane Elizabeth Burrows
William Nicholson
Ann Kilbinton
Constance Ellen Frey
Phillip Samson
Joy Ethel Batchelor
Sophie Suzanne Brzeska
Henry Montagu Butler
Conyngham William George Corfield
Katherine Lillie Gillah Summerson
Ann Willoughby
Isabella Sinclair Duncan
Nol Francis Newsome
Ernest Raymond Whitehouse
David Oakley Phillips
Helen Smith
Augusta Mary Louisa Knapp
James Thom
Anne Coningsby
Peter Frank Jewell
Eleanor Susan MacCarthy
